number,date,player1,player2,player3,note,url,id,season
2086,1993-10-04,Barry Kerman,Matthew Seelinger,Laura Jacobsson,,http://www.j-archive.com/showgame.php?game_id=5390,5390,10
2085,1993-10-01,Pam McCully,Barry Kerman,Lauri Haggard,,http://www.j-archive.com/showgame.php?game_id=5375,5375,10
2084,1993-09-30,Addison Goodson,Keith Ulrich,Pam McCully,,http://www.j-archive.com/showgame.php?game_id=5370,5370,10
2083,1993-09-29,Gary Walters,Addison Goodson,Roberta Hyman,,http://www.j-archive.com/showgame.php?game_id=5358,5358,10
2082,1993-09-28,Tom Rack,Anne-Marie Gorman,Gary Walters,,http://www.j-archive.com/showgame.php?game_id=5346,5346,10
2081,1993-09-27,Ferris Fletcher,Tom Rack,Dave Luders,,http://www.j-archive.com/showgame.php?game_id=5331,5331,10
2080,1993-09-24,Dave Osborne,Don Smolen,Ferris Fletcher,,http://www.j-archive.com/showgame.php?game_id=5318,5318,10
2079,1993-09-23,Dave Osborne,Tim Sheehan,Chuck Geneslaw,,http://www.j-archive.com/showgame.php?game_id=5266,5266,10
2078,1993-09-22,Lt. Commander Alan Echt,Dave Osborne,Barbara Elem,,http://www.j-archive.com/showgame.php?game_id=5227,5227,10
2066,1993-09-06,Robert Pantel,Dan Cordas,Karen L. Jones,First game of Season 10.,http://www.j-archive.com/showgame.php?game_id=1131,1131,10
2525,1995-07-21,Aaron Klein,Susan Schubert,Elliot Shteir,"1995 Seniors Tournament final game 2.
Last game of Season 11.",http://www.j-archive.com/showgame.php?game_id=5342,5342,11
2524,1995-07-20,Aaron Klein,Susan Schubert,Elliot Shteir,1995 Seniors Tournament final game 1.,http://www.j-archive.com/showgame.php?game_id=5341,5341,11
2515,1995-07-07,Isaac Segal,Beverly Adams,Robert Press,"Isaac Segal game 4.
Last regular play game of Season 11.",http://www.j-archive.com/showgame.php?game_id=2545,2545,11
2514,1995-07-06,Isaac Segal,Tom McGuire,James Greenberg,Isaac Segal game 3.,http://www.j-archive.com/showgame.php?game_id=2649,2649,11
2513,1995-07-05,Isaac Segal,Nancy Robertson,Dan Schay,Isaac Segal game 2.,http://www.j-archive.com/showgame.php?game_id=2648,2648,11
2512,1995-07-04,Tom Pope,Isaac Segal,Steve Zych,Isaac Segal game 1.,http://www.j-archive.com/showgame.php?game_id=2647,2647,11
2509,1995-06-29,David Siegel,James Caparas,Michael Culbertson,David Siegel game 3.,http://www.j-archive.com/showgame.php?game_id=4954,4954,11
2501,1995-06-19,Jim Vercolen,Mark Schmelz,Ed McIntyre,Jim Vercolen game 5.,http://www.j-archive.com/showgame.php?game_id=4988,4988,11
2500,1995-06-16,Jim Vercolen,Steven Meyer,Tim Wood,Jim Vercolen game 4.,http://www.j-archive.com/showgame.php?game_id=4935,4935,11
2487,1995-05-30,Mike Creed,Bill Atkinson,David Brent,,http://www.j-archive.com/showgame.php?game_id=4102,4102,11
2466,1995-05-01,Andrea Mazza,JL McHenry,Neal Vermillion,1995 College Championship quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=6095,6095,11
2464,1995-04-27,Bill Schantz,Larry Eilenberg,Gregg Rossen,,http://www.j-archive.com/showgame.php?game_id=5625,5625,11
2463,1995-04-26,Darlis Wood,Bill Schantz,Brenda Beck,,http://www.j-archive.com/showgame.php?game_id=5623,5623,11
2453,1995-04-12,Carole Denton,Mary Brody,Margaret Schwind,,http://www.j-archive.com/showgame.php?game_id=5389,5389,11
2446,1995-04-03,Jack Kuehl,Scott McGraw,Ramona Lauda,,http://www.j-archive.com/showgame.php?game_id=6038,6038,11
2445,1995-03-31,Bruce Borchardt,Bob Mandel,Arthur Tiersky,Bruce Borchardt game 5.,http://www.j-archive.com/showgame.php?game_id=5008,5008,11
2444,1995-03-30,Bruce Borchardt,Jeff Rinde,Hugh Zegers,Bruce Borchardt game 4.,http://www.j-archive.com/showgame.php?game_id=5743,5743,11
2416,1995-02-20,Charlie Garfink,Steve Salinger,Suze Keefe,,http://www.j-archive.com/showgame.php?game_id=6082,6082,11
2415,1995-02-17,Susannah Batko-Yovino,Matt Zielenski,Deborah Sager,1995 Teen Tournament final game 2.,http://www.j-archive.com/showgame.php?game_id=5323,5323,11
2414,1995-02-16,Susannah Batko-Yovino,Matt Zielenski,Deborah Sager,1995 Teen Tournament final game 1.,http://www.j-archive.com/showgame.php?game_id=5324,5324,11
2400,1995-01-27,Claud Argall,Bruce Marshall,Dave Sanders,,http://www.j-archive.com/showgame.php?game_id=5271,5271,11
2387,1995-01-10,Virginia Dietrich,Jeff Coulson,Doug Carey,,http://www.j-archive.com/showgame.php?game_id=5580,5580,11
2378,1994-12-28,Pat Farrior,Arlene Goldberg,Will Webster,,http://www.j-archive.com/showgame.php?game_id=3457,3457,11
2374,1994-12-22,Richard Rasmussen,Judy Pinder,Peter Blatman,,http://www.j-archive.com/showgame.php?game_id=4227,4227,11
2373,1994-12-21,Richard Rasmussen,Margaret Tessier,John Newton,,http://www.j-archive.com/showgame.php?game_id=5579,5579,11
2372,1994-12-20,Lena Nowak,Richard Rasmussen,Georgia Popplewell,,http://www.j-archive.com/showgame.php?game_id=6207,6207,11
2371,1994-12-19,Steve Angelo,Lena Nowak,Frank Patrick,,http://www.j-archive.com/showgame.php?game_id=5502,5502,11
2358,1994-11-30,Ryan Holznagel,Kevin Mulhern,David Lindauer,Ryan Holznagel game 5.,http://www.j-archive.com/showgame.php?game_id=440,440,11
2357,1994-11-29,Ryan Holznagel,Steve Kohl,Brendie Vance,Ryan Holznagel game 4.,http://www.j-archive.com/showgame.php?game_id=434,434,11
2355,1994-11-25,Jeff Stewart,Rachael Schwartz,David Hillinck,1994 Tournament of Champions final game 2.,http://www.j-archive.com/showgame.php?game_id=1440,1440,11
2354,1994-11-24,Jeff Stewart,Rachael Schwartz,David Hillinck,1994 Tournament of Champions final game 1.,http://www.j-archive.com/showgame.php?game_id=1439,1439,11
2353,1994-11-23,Steve Chernicoff,John Cuthbertson,Jeff Stewart,1994 Tournament of Champions semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=308,308,11
2352,1994-11-22,Brian Moore,Rachael Schwartz,Kurt Bray,1994 Tournament of Champions semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=121,121,11
2351,1994-11-21,Bill Pitassy,David Hillinck,Jean Grewe,1994 Tournament of Champions semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=2558,2558,11
2350,1994-11-18,Steve Chernicoff,Brian Moore,David Venderbush,1994 Tournament of Champions quarterfinal game 5.,http://www.j-archive.com/showgame.php?game_id=303,303,11
2349,1994-11-17,John Cuthbertson,David Hillinck,Rachael Schwartz,1994 Tournament of Champions quarterfinal game 4.,http://www.j-archive.com/showgame.php?game_id=302,302,11
2348,1994-11-16,Amy Fine,Kurt Bray,Bart Thomas,1994 Tournament of Champions quarterfinal game 3.,http://www.j-archive.com/showgame.php?game_id=2557,2557,11
