number,date,player1,player2,player3,note,url,id,season
2678,1996-04-03,David Sampugnaro,Joy Sibley,Dan Goldman,David Sampugnaro game 3.,http://www.j-archive.com/showgame.php?game_id=5182,5182,12
2677,1996-04-02,David Sampugnaro,Chip Hunter,Amy Comeau,David Sampugnaro game 2.,http://www.j-archive.com/showgame.php?game_id=556,556,12
2676,1996-04-01,Gary Fulcomer,Kathryn Perry,David Sampugnaro,David Sampugnaro game 1.,http://www.j-archive.com/showgame.php?game_id=157,157,12
2674,1996-03-28,Marty Sade,Jim Henderson,Judy Zellers,,http://www.j-archive.com/showgame.php?game_id=432,432,12
2673,1996-03-27,Marty Sade,Doug Carter,Lorna Valentine,,http://www.j-archive.com/showgame.php?game_id=427,427,12
2672,1996-03-26,Marty Sade,Al Brokos,Betty Fernandez,,http://www.j-archive.com/showgame.php?game_id=554,554,12
2670,1996-03-22,Jo Ellen Eppink,Tisa Lawless,Maria Canavan,,http://www.j-archive.com/showgame.php?game_id=551,551,12
2669,1996-03-21,Jo Ellen Eppink,Steve Wang,Dan McBride,,http://www.j-archive.com/showgame.php?game_id=547,547,12
2660,1996-03-08,Carolyn Christian,Andrew Burtle,Kevin Shultz,,http://www.j-archive.com/showgame.php?game_id=1153,1153,12
2650,1996-02-23,Shane Whitlock,Bryan Fagan,Vandana Madhavan,1996 College Championship final game 2.,http://www.j-archive.com/showgame.php?game_id=4115,4115,12
2649,1996-02-22,Shane Whitlock,Bryan Fagan,Vandana Madhavan,1996 College Championship final game 1.,http://www.j-archive.com/showgame.php?game_id=4117,4117,12
2648,1996-02-21,Bill Lee,Vandana Madhavan,Brian Gondos,1996 College Championship semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=5399,5399,12
2647,1996-02-20,Bryan Fagan,Bronwyn Bedient,Mark Schmidt,1996 College Championship semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=5761,5761,12
2646,1996-02-19,Shane Whitlock,Steffanie Brown,Michael Musgrove,1996 College Championship semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=4498,4498,12
2643,1996-02-14,Vandana Madhavan,Mark Schmidt,Shane Whitlock,1996 College Championship quarterfinal game 3.,http://www.j-archive.com/showgame.php?game_id=5760,5760,12
2635,1996-02-02,Bill Sloan,Gordon Frankel Light,Kerry Towle,Bill Sloan game 5.,http://www.j-archive.com/showgame.php?game_id=445,445,12
2634,1996-02-01,Bill Sloan,Frank Lowther Jr.,Eitan Ginsburg,Bill Sloan game 4.,http://www.j-archive.com/showgame.php?game_id=6032,6032,12
2633,1996-01-31,Bill Sloan,Mike McCarthy,Michelle Roberts,Bill Sloan game 3.,http://www.j-archive.com/showgame.php?game_id=443,443,12
2632,1996-01-30,Bill Sloan,Ellen Mandell,Jim Mehl,Bill Sloan game 2.,http://www.j-archive.com/showgame.php?game_id=438,438,12
2631,1996-01-29,David Bowen,Rocky Feemster,Bill Sloan,Bill Sloan game 1.,http://www.j-archive.com/showgame.php?game_id=3120,3120,12
2630,1996-01-26,David Bowen,Christina Wilber,Bruce Katz,,http://www.j-archive.com/showgame.php?game_id=5991,5991,12
2629,1996-01-25,John Thiel,David Bowen,Leigh Tomaszewski,,http://www.j-archive.com/showgame.php?game_id=582,582,12
2628,1996-01-24,John Thiel,Robert Galvin,Michael Marion,,http://www.j-archive.com/showgame.php?game_id=580,580,12
2627,1996-01-23,Murph Honea,Mary Margaret Purvis,John Thiel,,http://www.j-archive.com/showgame.php?game_id=577,577,12
2625,1996-01-19,Bill Dickenson,Mary Lou Rodgers,Peter Williams,Bill Dickenson game 4.,http://www.j-archive.com/showgame.php?game_id=576,576,12
2624,1996-01-18,Bill Dickenson,Sandy Shapiro,Jack Ronner,Bill Dickenson game 3.,http://www.j-archive.com/showgame.php?game_id=574,574,12
2623,1996-01-17,Bill Dickenson,Debby Herzberg Loomis,Donna Christie,Bill Dickenson game 2.,http://www.j-archive.com/showgame.php?game_id=572,572,12
2622,1996-01-16,Barbara Walker,Bill Dickenson,Dan Iacobazzi,"Barbara Walker game 5.
Bill Dickenson game 1.",http://www.j-archive.com/showgame.php?game_id=570,570,12
2621,1996-01-15,Barbara Walker,John Zappacosta,Nick Lamelza,Barbara Walker game 4.,http://www.j-archive.com/showgame.php?game_id=1223,1223,12
2620,1996-01-12,Barbara Walker,Luis Gutierrez,Joel Silbert,Barbara Walker game 3.,http://www.j-archive.com/showgame.php?game_id=568,568,12
2619,1996-01-11,Barbara Walker,Glenn Jessee,Susan Goldsamt,Barbara Walker game 2.,http://www.j-archive.com/showgame.php?game_id=564,564,12
2616,1996-01-08,Gareth Jones,Gail Bock,Vince Brennan,,http://www.j-archive.com/showgame.php?game_id=5417,5417,12
2613,1996-01-03,Gareth Jones,Chris Oake,Claudia Shanaman,,http://www.j-archive.com/showgame.php?game_id=5291,5291,12
2612,1996-01-02,Rima Rozen,Gareth Jones,Peter Knopp,,http://www.j-archive.com/showgame.php?game_id=5277,5277,12
2610,1995-12-29,David Cuneo,Jerry Platzman,Phyllis Clark,1995-B Seniors Tournament final game 2.,http://www.j-archive.com/showgame.php?game_id=5436,5436,12
2607,1995-12-26,David Cuneo,Nola Wegman,Darryl Adams,1995-B Seniors Tournament semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=5435,5435,12
2606,1995-12-25,Phyllis Clark,Ange Cardinal,Graham Beard,1995-B Seniors Tournament semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=5434,5434,12
2598,1995-12-13,Brad Plovan,Shana Aborn,Michael McRee,Brad Plovan game 3.,http://www.j-archive.com/showgame.php?game_id=4146,4146,12
2597,1995-12-12,Brad Plovan,Claudia Grimes,George Seymour,Brad Plovan game 2. Missing second half of J! round....,http://www.j-archive.com/showgame.php?game_id=5420,5420,12
2596,1995-12-11,Gwen LaTray,Brad Plovan,Carl Cope,Brad Plovan game 1.,http://www.j-archive.com/showgame.php?game_id=5060,5060,12
2595,1995-12-08,Gwen LaTray,Michael McGuinness,Richard Prince,,http://www.j-archive.com/showgame.php?game_id=3456,3456,12
2590,1995-12-01,Michael Daunt,Deedie Gustavson,Joe Carroll,Michael Daunt game 2.,http://www.j-archive.com/showgame.php?game_id=4232,4232,12
2585,1995-11-24,David Siegel,Ryan Holznagel,Isaac Segal,1995 Tournament of Champions final game 2.,http://www.j-archive.com/showgame.php?game_id=685,685,12
2584,1995-11-23,David Siegel,Ryan Holznagel,Isaac Segal,1995 Tournament of Champions final game 1.,http://www.j-archive.com/showgame.php?game_id=197,197,12
2583,1995-11-22,Isaac Segal,Gordon Wean,Jonathan Groff,1995 Tournament of Champions semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=2570,2570,12
2582,1995-11-21,David Siegel,Matt Zielenski,Jim Vercolen,1995 Tournament of Champions semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=290,290,12
2581,1995-11-20,Bruce Borchardt,Paul Thompson,Ryan Holznagel,1995 Tournament of Champions semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=2569,2569,12
2580,1995-11-17,Len Krisak,Matt Zielenski,Jim Morgan,1995 Tournament of Champions quarterfinal game 5.,http://www.j-archive.com/showgame.php?game_id=2568,2568,12
2579,1995-11-16,David Siegel,Ryan Holznagel,John McKeon,1995 Tournament of Champions quarterfinal game 4.,http://www.j-archive.com/showgame.php?game_id=2567,2567,12
2578,1995-11-15,Jonathan Groff,Linda Roberts,Aaron Klein,1995 Tournament of Champions quarterfinal game 3.,http://www.j-archive.com/showgame.php?game_id=2564,2564,12
2577,1995-11-14,Paul Thompson,Isaac Segal,Jim Vercolen,1995 Tournament of Champions quarterfinal game 2.,http://www.j-archive.com/showgame.php?game_id=2563,2563,12
2576,1995-11-13,Bruce Borchardt,Gordon Wean,Ben Lyon,1995 Tournament of Champions quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=2562,2562,12
2575,1995-11-10,Jeff Foxworthy,Yasmine Bleeth,Thomas Haden Church,1995 Celebrity Jeopardy! game 5.,http://www.j-archive.com/showgame.php?game_id=5400,5400,12
2574,1995-11-09,Swoosie Kurtz,Charles Kimbrough,Bill Maher,1995 Celebrity Jeopardy! game 4.,http://www.j-archive.com/showgame.php?game_id=5391,5391,12
2573,1995-11-08,Noah Wyle,Shawntel Smith,Charles Shaughnessy,1995 Celebrity Jeopardy! game 3.,http://www.j-archive.com/showgame.php?game_id=5386,5386,12
2572,1995-11-07,LeVar Burton,Melody Thomas Scott,Dan Jansen,1995 Celebrity Jeopardy! game 2.,http://www.j-archive.com/showgame.php?game_id=2436,2436,12
2571,1995-11-06,Stephen King,Lynn Redgrave,David Duchovny,1995 Celebrity Jeopardy! game 1.,http://www.j-archive.com/showgame.php?game_id=307,307,12
2558,1995-10-18,Paul Thompson,Patrick Killian,Allen Rudolph,"Paul Thompson game 4.
Tape missing player introductions.",http://www.j-archive.com/showgame.php?game_id=5886,5886,12
2550,1995-10-06,Patrick McGeehan,Ana Wagner-Hoffman,Diana Ashbrook,,http://www.j-archive.com/showgame.php?game_id=4123,4123,12
2543,1995-09-27,Linda Roberts,Dotty Shekarian,Peg Hausman,Linda Roberts game 3.,http://www.j-archive.com/showgame.php?game_id=2751,2751,12
2541,1995-09-25,Keith Bush,Linda Roberts,Paul Skocz,Linda Roberts game 1.,http://www.j-archive.com/showgame.php?game_id=2726,2726,12
2537,1995-09-19,Albina Moran,Richard Scheffler,Wilson Mudge,,http://www.j-archive.com/showgame.php?game_id=4495,4495,12
2535,1995-09-15,Len Krisak,Steve Alper,Scott Astle,Len Krisak game 4.,http://www.j-archive.com/showgame.php?game_id=4492,4492,12
2529,1995-09-07,Carol Ann Hilton,June Vester,Rudy Stegemoeller,,http://www.j-archive.com/showgame.php?game_id=5169,5169,12
2528,1995-09-06,Carol Ann Hilton,John Cassidy,Lisa Grean,,http://www.j-archive.com/showgame.php?game_id=3951,3951,12
2526,1995-09-04,Isaac Segal,Cathy Glassman,Mark Temares,"Isaac Segal game 5.
First game of Season 12.",http://www.j-archive.com/showgame.php?game_id=4162,4162,12
2985,1997-07-18,Patrick Friel,Dan Melia,Brian Keliher,"Dan Melia game 1.
Last game of Season 13 (1996-1997).",http://www.j-archive.com/showgame.php?game_id=184,184,13
2984,1997-07-17,Patrick Friel,Phil Duffy,Diane Mirabito,,http://www.j-archive.com/showgame.php?game_id=780,780,13
2983,1997-07-16,Penny Willis,Patrick Friel,Kim Haase,,http://www.j-archive.com/showgame.php?game_id=777,777,13
2982,1997-07-15,Peter Fiske,Penny Willis,Greg Chernack,,http://www.j-archive.com/showgame.php?game_id=776,776,13
2981,1997-07-14,Jeff Pilgreen,Peter Fiske,Nancy Baron,,http://www.j-archive.com/showgame.php?game_id=775,775,13
2980,1997-07-11,Kim Simkins,Jeff Pilgreen,Steve Muni,,http://www.j-archive.com/showgame.php?game_id=773,773,13
2979,1997-07-10,David Smith,Kim Simkins,Richard Dargan,,http://www.j-archive.com/showgame.php?game_id=771,771,13
2978,1997-07-09,David Smith,Diane Tabbott,Dan Dean,,http://www.j-archive.com/showgame.php?game_id=768,768,13
2977,1997-07-08,Peter Braxton,David Smith,Fazal Khan,,http://www.j-archive.com/showgame.php?game_id=766,766,13
2976,1997-07-07,Peter Braxton,Chris Morse,Debbie Beers,,http://www.j-archive.com/showgame.php?game_id=762,762,13
2975,1997-07-04,Brick Barrientos,Peter Braxton,Barb Fuson,,http://www.j-archive.com/showgame.php?game_id=761,761,13
2974,1997-07-03,Kim Worth,Ken Rosenau,Brick Barrientos,Kim Worth game 5.,http://www.j-archive.com/showgame.php?game_id=759,759,13
2973,1997-07-02,Kim Worth,Susan Lee,David Achar,Kim Worth game 4.,http://www.j-archive.com/showgame.php?game_id=757,757,13
2972,1997-07-01,Kim Worth,Linda Desmond,Gerard Magliocca,Kim Worth game 3.,http://www.j-archive.com/showgame.php?game_id=755,755,13
2971,1997-06-30,Kim Worth,Natalia Mayer,James Oldham,Kim Worth game 2.,http://www.j-archive.com/showgame.php?game_id=754,754,13
2970,1997-06-27,Ellen Kolb,Lisa Newman,Kim Worth,Kim Worth game 1.,http://www.j-archive.com/showgame.php?game_id=751,751,13
2969,1997-06-26,Ellen Kolb,Kevin McDermott,Jim Cordi,,http://www.j-archive.com/showgame.php?game_id=750,750,13
2968,1997-06-25,Cris Molles,Ellen Kolb,Andrew Lueder,,http://www.j-archive.com/showgame.php?game_id=749,749,13
2967,1997-06-24,Lynda Pinnington,Cris Molles,Paul Slota,,http://www.j-archive.com/showgame.php?game_id=747,747,13
2966,1997-06-23,Lynda Pinnington,Alex Oleksij,Jonathan Brosin,,http://www.j-archive.com/showgame.php?game_id=745,745,13
2965,1997-06-20,Chris Szymanski,Roger Antaki,Lynda Pinnington,,http://www.j-archive.com/showgame.php?game_id=744,744,13
2964,1997-06-19,Chris Szymanski,Joy Luckabaugh,Brian Nafziger,,http://www.j-archive.com/showgame.php?game_id=739,739,13
2963,1997-06-18,Laurie Kittle,Mark Le Menager,Chris Szymanski,,http://www.j-archive.com/showgame.php?game_id=738,738,13
2962,1997-06-17,Laurie Kittle,Jeff Holt,Scott Kearin,,http://www.j-archive.com/showgame.php?game_id=735,735,13
2961,1997-06-16,Arthur Phillips,Lee Morgan,John Kiernan,Arthur Phillips game 5.,http://www.j-archive.com/showgame.php?game_id=734,734,13
2960,1997-06-13,Arthur Phillips,Evan Fletcher,Mark Hein,Arthur Phillips game 4.,http://www.j-archive.com/showgame.php?game_id=732,732,13
2959,1997-06-12,Arthur Phillips,Fritz Gray,Mindy Eakin,Arthur Phillips game 3.,http://www.j-archive.com/showgame.php?game_id=729,729,13
2958,1997-06-11,Arthur Phillips,Sheri Gravett,Girish Bhat,Arthur Phillips game 2.,http://www.j-archive.com/showgame.php?game_id=725,725,13
2957,1997-06-10,Wes Ulm,Ellen Auerbach,Arthur Phillips,"Wes Ulm game 5.
Arthur Phillips game 1.",http://www.j-archive.com/showgame.php?game_id=269,269,13
2956,1997-06-09,Wes Ulm,Lisa McLendon,John Nauss,Wes Ulm game 4.,http://www.j-archive.com/showgame.php?game_id=723,723,13
2955,1997-06-06,Wes Ulm,Jennifer Tobias-Turner,Peter Higgins,Wes Ulm game 3.,http://www.j-archive.com/showgame.php?game_id=721,721,13
2954,1997-06-05,Wes Ulm,Rich Canedo,Macee Damon,Wes Ulm game 2.,http://www.j-archive.com/showgame.php?game_id=719,719,13
2953,1997-06-04,Stephen Heuser,Ellen Simmons,Wes Ulm,Wes Ulm game 1.,http://www.j-archive.com/showgame.php?game_id=718,718,13
2952,1997-06-03,Lyn Payne,Stephen Heuser,Brad Miliauskas,Lyn Payne game 5.,http://www.j-archive.com/showgame.php?game_id=786,786,13
2951,1997-06-02,Lyn Payne,Jim Melberg,Pete Kearns,Lyn Payne game 4.,http://www.j-archive.com/showgame.php?game_id=785,785,13
2950,1997-05-30,Lyn Payne,Rick Rodgers,Chris Moylan,Lyn Payne game 3.,http://www.j-archive.com/showgame.php?game_id=783,783,13
2949,1997-05-29,Lyn Payne,Emily Scott,Jeff Barlow,Lyn Payne game 2.,http://www.j-archive.com/showgame.php?game_id=781,781,13
2948,1997-05-28,Doug Antoniazzi,David Wyatt,Lyn Payne,Lyn Payne game 1.,http://www.j-archive.com/showgame.php?game_id=501,501,13
2947,1997-05-27,Doug Antoniazzi,Michael Berman,Lisa Newell,,http://www.j-archive.com/showgame.php?game_id=789,789,13
2946,1997-05-26,Doug Antoniazzi,Elin Gaynor,Michael Berman,,http://www.j-archive.com/showgame.php?game_id=2617,2617,13
2945,1997-05-23,Mark Urciuolo,Steven Bevier,Craig Barker,1997 College Championship final game 2.,http://www.j-archive.com/showgame.php?game_id=1477,1477,13
2944,1997-05-22,Mark Urciuolo,Steven Bevier,Craig Barker,1997 College Championship final game 1.,http://www.j-archive.com/showgame.php?game_id=1476,1476,13
2943,1997-05-21,Aaron Wenger,Mark Urciuolo,Eric Slack,1997 College Championship semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=1475,1475,13
2942,1997-05-20,Craig Barker,Bill McKinley,Lisa Talley,1997 College Championship semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=1474,1474,13
2941,1997-05-19,Brian Chan,Steven Bevier,Joel Vaughan,1997 College Championship semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=1473,1473,13
2940,1997-05-16,Craig Barker,Andrea Pinyan,Joel Vaughan,1997 College Championship quarterfinal game 5.,http://www.j-archive.com/showgame.php?game_id=1472,1472,13
2939,1997-05-15,Brian Chan,Lisa Talley,Mark Urciuolo,1997 College Championship quarterfinal game 4.,http://www.j-archive.com/showgame.php?game_id=1471,1471,13
2938,1997-05-14,Steven Bevier,Andrea Riquier,Eric Slack,1997 College Championship quarterfinal game 3.,http://www.j-archive.com/showgame.php?game_id=1470,1470,13
2937,1997-05-13,Oliver Baptiste,Leslie Campisi,Bill McKinley,1997 College Championship quarterfinal game 2.,http://www.j-archive.com/showgame.php?game_id=1462,1462,13
2936,1997-05-12,Brigid Laurie,James Tong,Aaron Wenger,1997 College Championship quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=1461,1461,13
2935,1997-05-09,Michael Daunt,Per Gunnar Hillesoy,Boris Levit,"1997 International Tournament final game 2.
From Stockholm, Sweden.",http://www.j-archive.com/showgame.php?game_id=223,223,13
2934,1997-05-08,Michael Daunt,Per Gunnar Hillesoy,Boris Levit,"1997 International Tournament final game 1.
From Stockholm, Sweden.",http://www.j-archive.com/showgame.php?game_id=222,222,13
2933,1997-05-07,Gay Mollette,Per Gunnar Hillesoy,Anatoly Belkine,"1997 International Tournament semifinal game 3.
  From Stockholm, Sweden.",http://www.j-archive.com/showgame.php?game_id=1403,1403,13
2932,1997-05-06,Michael Daunt,Eva Holmberg,Murat Sen,"1997 International Tournament semifinal game 2.
  From Stockholm, Sweden.",http://www.j-archive.com/showgame.php?game_id=1402,1402,13
2931,1997-05-05,Boris Levit,Dana Pernille Hansen,Tobias Herzig,"1997 International Tournament semifinal game 1.
  From Stockholm, Sweden.",http://www.j-archive.com/showgame.php?game_id=1401,1401,13
2930,1997-05-02,Reggie White,Donna D'Errico,Mike Piazza,1997 Celebrity Jeopardy! game 5.,http://www.j-archive.com/showgame.php?game_id=3026,3026,13
2929,1997-05-01,Sam Waterston,Carey Lowell,Benjamin Bratt,1997 Celebrity Jeopardy! game 4. Law & Order theme music...,http://www.j-archive.com/showgame.php?game_id=3025,3025,13
2928,1997-04-30,Joey Gordon-Levitt,Kirsten Dunst,Benjamin Salisbury,1997 Celebrity Jeopardy! game 3.,http://www.j-archive.com/showgame.php?game_id=3023,3023,13
2927,1997-04-29,Chris Hardwick,Sharon Lawrence,Patrick Duffy,1997 Celebrity Jeopardy! game 2.,http://www.j-archive.com/showgame.php?game_id=3022,3022,13
2926,1997-04-28,Rob Schneider,Robin Quivers,Mark McEwen,1997 Celebrity Jeopardy! game 1.,http://www.j-archive.com/showgame.php?game_id=3020,3020,13
2925,1997-04-25,Roger Bauman,Doug Antoniazzi,Courtney Conrad,,http://www.j-archive.com/showgame.php?game_id=1400,1400,13
2924,1997-04-24,Roger Bauman,Ann Hall-Rogalinski,Keith Milsark,,http://www.j-archive.com/showgame.php?game_id=1399,1399,13
2923,1997-04-23,Pam Storm,Roger Bauman,Bryan McKown,,http://www.j-archive.com/showgame.php?game_id=1398,1398,13
2922,1997-04-22,Michael Steele,Jonathan Matte,Pam Storm,,http://www.j-archive.com/showgame.php?game_id=1397,1397,13
2921,1997-04-21,Linda Fabrizio,Christopher Barger,Michael Steele,,http://www.j-archive.com/showgame.php?game_id=1396,1396,13
2920,1997-04-18,Linda Fabrizio,Roy Jenkins,Joe Archer,,http://www.j-archive.com/showgame.php?game_id=1395,1395,13
2919,1997-04-17,Sue Keller,Linda Fabrizio,Bruce Lamott,,http://www.j-archive.com/showgame.php?game_id=1394,1394,13
2918,1997-04-16,Sue Keller,Carol Feingold,Jeff Park,,http://www.j-archive.com/showgame.php?game_id=1393,1393,13
2916,1997-04-14,David Forman,Sue Keller,Tom Ayala,,http://www.j-archive.com/showgame.php?game_id=1377,1377,13
2915,1997-04-11,Doug Szafran,Rachel Berson,David Forman,,http://www.j-archive.com/showgame.php?game_id=1376,1376,13
2914,1997-04-10,Doug Szafran,John Foster,Rachel Berson,,http://www.j-archive.com/showgame.php?game_id=1375,1375,13
2913,1997-04-09,Beth Coughlin,Brad McNiff,Doug Szafran,,http://www.j-archive.com/showgame.php?game_id=1374,1374,13
2912,1997-04-08,Steve Cook,Darren Depuydt,Beth Coughlin,,http://www.j-archive.com/showgame.php?game_id=1373,1373,13
2911,1997-04-07,Steve Cook,Rod Jackson,Linda Triegel,,http://www.j-archive.com/showgame.php?game_id=1372,1372,13
2910,1997-04-04,Steve Cook,Joe Sill,Niki Bates,,http://www.j-archive.com/showgame.php?game_id=1371,1371,13
2909,1997-04-03,Christian Stallsmith,Steve Cook,Matt Wehling,,http://www.j-archive.com/showgame.php?game_id=1370,1370,13
2908,1997-04-02,Christian Stallsmith,Romaine White,Barry Koron,,http://www.j-archive.com/showgame.php?game_id=1369,1369,13
2907,1997-04-01,Paul Roder,Lori Drummond,Christian Stallsmith,April Fools' Day show with Pat Sajak as host.,http://www.j-archive.com/showgame.php?game_id=226,226,13
